bond_id;labelA;labelB;d1_vox;d2_vox;strain;broken;nx_A;ny_A;nz_A;nx_B;ny_B;nz_B;normal_dz
820;236;243;71.570;72.019;0.006280;1;346.26;378.17;707.95;392.94;331.71;734.78;0.377
821;236;250;73.140;122.139;0.669924;1;346.26;378.17;707.95;378.54;429.96;750.36;0.571
822;236;259;68.800;121.415;0.764751;1;346.26;378.17;707.95;311.85;404.45;761.18;0.776
823;236;262;79.810;97.586;0.222723;1;346.26;378.17;707.95;341.46;339.50;777.33;0.872
824;237;242;68.448;111.135;0.623642;0;337.60;298.42;709.28;285.07;336.59;732.13;0.332
825;237;243;69.504;121.386;0.746470;1;337.60;298.42;709.28;392.94;331.71;734.78;0.367
826;237;257;70.415;113.766;0.615659;0;337.60;298.42;709.28;317.76;258.14;762.93;0.767
827;237;262;79.832;117.556;0.472530;1;337.60;298.42;709.28;341.46;339.50;777.33;0.855
828;238;243;70.179;74.424;0.060483;1;426.30;390.47;715.71;392.94;331.71;734.78;0.272
829;238;250;70.434;69.723;-0.010089;1;426.30;390.47;715.71;378.54;429.96;750.36;0.488
830;238;263;69.438;88.353;0.272402;1;426.30;390.47;715.71;430.23;382.26;784.82;0.991
831;239;244;69.357;79.662;0.148571;1;186.80;269.03;712.96;130.91;237.01;741.36;0.403
832;239;252;73.495;73.840;0.004698;1;186.80;269.03;712.96;248.48;276.94;751.83;0.530
833;239;260;70.063;69.662;-0.005727;1;186.80;269.03;712.96;199.52;220.99;763.49;0.713
834;239;261;70.679;1.385;-0.980411;1;186.80;269.03;712.96;166.39;307.47;768.94;0.790
835;240;247;68.612;126.538;0.844260;1;321.64;452.92;715.30;259.60;450.34;746.57;0.450
836;240;250;69.990;71.128;0.016250;1;321.64;452.92;715.30;378.54;429.96;750.36;0.496
837;240;259;67.249;69.144;0.028178;1;321.64;452.92;715.30;311.85;404.45;761.18;0.680
838;241;249;74.217;84.461;0.138026;1;452.47;227.39;720.58;416.90;170.42;753.58;0.441
839;241;265;70.784;110.936;0.567245;1;452.47;227.39;720.58;450.78;228.95;791.16;0.999
840;242;252;72.723;84.717;0.164940;1;285.07;336.59;732.13;248.48;276.94;751.83;0.271
841;242;258;69.675;79.520;0.141299;1;285.07;336.59;732.13;243.93;384.77;763.14;0.440
842;242;262;73.047;116.540;0.595424;1;285.07;336.59;732.13;341.46;339.50;777.33;0.625
843;243;255;70.309;103.297;0.469189;1;392.94;331.71;734.78;457.74;320.74;761.81;0.380
844;243;262;67.217;61.314;-0.087831;1;392.94;331.71;734.78;341.46;339.50;777.33;0.633
845;243;263;79.725;70.776;-0.112247;1;392.94;331.71;734.78;430.23;382.26;784.82;0.623
846;243;264;70.790;75.205;0.062374;1;392.94;331.71;734.78;403.40;277.54;779.85;0.633
847;244;260;74.391;73.952;-0.005899;1;130.91;237.01;741.36;199.52;220.99;763.49;0.300
848;245;246;66.927;69.609;0.040066;1;195.10;425.00;739.79;149.71;375.68;738.24;-0.023
849;245;247;69.476;70.862;0.019951;1;195.10;425.00;739.79;259.60;450.34;746.57;0.097
850;245;258;67.365;49.056;-0.271789;1;195.10;425.00;739.79;243.93;384.77;763.14;0.346
851;245;267;68.544;109.262;0.594043;1;195.10;425.00;739.79;189.85;419.67;809.02;0.994
852;246;261;76.489;101.742;0.330149;1;149.71;375.68;738.24;166.39;307.47;768.94;0.401
853;246;266;67.957;111.681;0.643390;1;149.71;375.68;738.24;140.23;362.46;804.95;0.972
854;247;258;68.998;46.061;-0.332433;1;259.60;450.34;746.57;243.93;384.77;763.14;0.239
855;247;259;70.375;74.161;0.053803;1;259.60;450.34;746.57;311.85;404.45;761.18;0.206
856;247;269;75.480;44.017;-0.416840;1;259.60;450.34;746.57;297.51;451.08;812.73;0.868
857;248;249;68.902;71.700;0.040606;0;375.82;225.31;745.08;416.90;170.42;753.58;0.123
858;248;254;71.464;84.855;0.187376;1;375.82;225.31;745.08;334.50;169.73;762.07;0.238
859;248;257;69.396;72.722;0.047929;1;375.82;225.31;745.08;317.76;258.14;762.93;0.259
860;248;264;69.738;105.988;0.519809;1;375.82;225.31;745.08;403.40;277.54;779.85;0.507
861;248;279;77.286;85.794;0.110082;1;375.82;225.31;745.08;356.08;210.04;819.33;0.948
862;249;265;77.100;72.444;-0.060387;1;416.90;170.42;753.58;450.78;228.95;791.16;0.486
863;249;277;70.966;71.796;0.011683;1;416.90;170.42;753.58;417.99;176.35;824.99;0.996
864;250;259;71.896;69.268;-0.036553;1;378.54;429.96;750.36;311.85;404.45;761.18;0.150
865;250;263;77.719;75.653;-0.026577;1;378.54;429.96;750.36;430.23;382.26;784.82;0.440
866;250;272;73.004;55.636;-0.237902;1;378.54;429.96;750.36;368.46;400.50;817.37;0.907
867;251;253;73.626;69.672;-0.053710;1;201.05;144.54;752.16;270.37;117.15;756.72;0.061
868;251;256;76.402;80.467;0.053195;1;201.05;144.54;752.16;264.35;189.21;758.65;0.084
869;251;260;77.192;71.231;-0.077220;1;201.05;144.54;752.16;199.52;220.99;763.49;0.147
870;251;273;70.813;4.861;-0.931352;1;201.05;144.54;752.16;218.77;177.08;813.32;0.855
871;252;257;71.847;75.172;0.046272;1;248.48;276.94;751.83;317.76;258.14;762.93;0.153
872;252;260;75.289;83.759;0.112502;1;248.48;276.94;751.83;199.52;220.99;763.49;0.155
873;252;270;69.909;83.154;0.189460;1;248.48;276.94;751.83;211.64;270.40;811.94;0.849
874;252;271;72.210;81.954;0.134941;1;248.48;276.94;751.83;280.66;297.60;814.03;0.852
875;253;254;82.007;94.503;0.152380;1;270.37;117.15;756.72;334.50;169.73;762.07;0.064
876;253;256;71.898;97.071;0.350128;1;270.37;117.15;756.72;264.35;189.21;758.65;0.027
877;253;276;72.897;1.584;-0.978272;1;270.37;117.15;756.72;286.89;154.56;818.05;0.832
878;254;256;73.088;93.756;0.282790;0;334.50;169.73;762.07;264.35;189.21;758.65;-0.047
879;254;276;73.331;94.033;0.282310;1;334.50;169.73;762.07;286.89;154.56;818.05;0.746
880;254;278;73.425;2.916;-0.960281;1;334.50;169.73;762.07;361.04;132.92;821.21;0.793
881;254;279;72.417;1.400;-0.980672;1;334.50;169.73;762.07;356.08;210.04;819.33;0.781
882;255;263;71.272;115.157;0.615743;1;457.74;320.74;761.81;430.23;382.26;784.82;0.323
883;255;264;70.976;92.315;0.300653;1;457.74;320.74;761.81;403.40;277.54;779.85;0.252
884;255;282;70.686;97.343;0.377105;1;457.74;320.74;761.81;455.51;290.71;826.64;0.907
885;256;260;71.337;71.698;0.005061;0;264.35;189.21;758.65;199.52;220.99;763.49;0.067
886;256;273;70.166;80.991;0.154290;1;264.35;189.21;758.65;218.77;177.08;813.32;0.757
887;256;275;70.133;68.021;-0.030107;1;264.35;189.21;758.65;280.83;228.03;816.36;0.807
888;256;276;71.407;97.420;0.364285;1;264.35;189.21;758.65;286.89;154.56;818.05;0.821
889;257;271;72.905;14.914;-0.795440;1;317.76;258.14;762.93;280.66;297.60;814.03;0.686
890;257;275;70.429;32.748;-0.535022;1;317.76;258.14;762.93;280.83;228.03;816.36;0.746
891;257;280;72.315;93.408;0.291690;0;317.76;258.14;762.93;349.47;281.98;824.36;0.840
892;258;259;69.830;99.118;0.419409;1;243.93;384.77;763.14;311.85;404.45;761.18;-0.028
893;258;267;79.116;74.173;-0.062477;1;243.93;384.77;763.14;189.85;419.67;809.02;0.580
894;258;268;69.386;66.143;-0.046740;1;243.93;384.77;763.14;210.59;345.90;810.95;0.682
895;258;274;69.233;90.466;0.306702;1;243.93;384.77;763.14;287.97;366.45;815.34;0.738
896;259;262;72.852;109.779;0.506873;1;311.85;404.45;761.18;341.46;339.50;777.33;0.221
897;259;269;70.288;45.584;-0.351466;1;311.85;404.45;761.18;297.51;451.08;812.73;0.726
898;259;272;79.002;88.684;0.122564;1;311.85;404.45;761.18;368.46;400.50;817.37;0.704
899;259;274;68.963;85.051;0.233290;1;311.85;404.45;761.18;287.97;366.45;815.34;0.770
900;260;270;69.590;92.833;0.333987;1;199.52;220.99;763.49;211.64;270.40;811.94;0.690
