bead_id,voxels,volume_mm3,r_eq_vox,cz,cy,cx,r_fit_vox,fill,roughness,sphericity,radius_ok,shape_ok,scan,on_boundary
140,187567,2.849215135477405,35.51043079491728,37.46004361108297,37.406302814460965,38.22426119733216,35.070121661688844,1.0381401924919695,0.0166879191410872,0.9768979567701798,True,True,1,True
141,192500,2.92414930973679,35.81904820970796,37.34195844155844,37.57785974025974,38.353542857142855,35.41669524327552,1.034470287714453,0.0187771697076186,0.9915863821560992,True,True,1,True
142,183556,2.7882864971327077,35.25548216498152,37.44669746562357,37.12353178321602,37.53788489616248,34.831587158215385,1.036955651911332,0.0134649670692761,0.9900932686152132,True,True,1,True
143,192165,2.9190605304185464,35.798257995737906,38.49843103582859,37.3555746363802,38.6106627117321,35.39502576824568,1.0345678599616044,0.0158625997697647,0.984782583817256,True,True,1,True
144,188358,2.861230730822869,35.56027850816313,37.95626944435596,37.90359315771032,38.383025939965385,35.14138271258429,1.0361888719390595,0.0163370718670325,0.9855855840615402,True,True,1,True
145,200825,3.050609273391641,36.32813103961761,38.64977467944728,38.729625295655424,37.79677331009585,35.95936337018121,1.0310819480269469,0.0172648621864993,0.9726725471237022,True,True,1,True
146,190479,2.8934495395810598,35.69325579558376,52.28185784259682,44.55270134765512,37.04070264963592,35.121071101387905,1.0496759243488598,0.1109633153160853,0.8673943933995465,True,True,1,True
147,195472,2.9692951370019207,36.002443906642085,38.02061676352624,40.650466562986,39.09607514119669,35.593310648019305,1.0348819023251543,0.0177617764540845,0.9855377432300744,True,True,1,False
148,192355,2.9219467037632216,35.81005242339135,37.68577369966988,38.26998518364482,38.82125237191651,35.40149482108206,1.0350231631534583,0.0158862813177496,0.9891603065837066,True,True,1,True
149,185685,2.820626828979095,35.39126376714951,37.14698548617282,38.09516654549371,37.93405498559388,34.95260535423344,1.0381247671345777,0.0165619854301002,0.982437758384404,True,True,1,False
150,182959,2.779217836676017,35.21721885099203,37.16280150197585,37.27742281057505,37.73327357495395,34.802400684695144,1.0361856181889404,0.0138125085128596,0.9883131096985563,True,True,1,True
151,192457,2.923496123137732,35.816380965084186,37.89648077232837,38.58208327054874,36.94149342450521,35.41038663118884,1.0347920809221185,0.0188078657895422,0.9744636074433292,True,True,1,True
152,188898,2.8694335392761565,35.59422844939045,37.55532615485606,38.34783322216222,37.47147137608656,35.18315068817857,1.0354629531137458,0.0163734760324224,0.9822529098523788,True,True,1,True
153,185282,2.8145051034111783,35.36564150353836,37.927073326065134,37.35004479658035,37.82636737513628,34.93055069125677,1.0378350250380983,0.0157207419825873,0.9831031444662716,True,True,1,False
154,195909,2.9759333356946738,36.02925313110045,38.79060175897993,38.95319765809637,38.05778192936516,35.6282551874652,1.034146617121794,0.0238370015941192,0.9862634084446544,True,True,1,False
155,190641,2.8959103821170458,35.7033718170402,37.43515822934207,38.418189161827726,38.74596230611464,35.27539774374469,1.0368404699592826,0.0163394576918797,0.9822071248851608,True,True,1,True
156,187760,2.852146879980154,35.52260629097952,37.4924158500213,38.21100873455475,38.39313485300384,35.0967169081287,1.0368477493261632,0.0148907024201622,0.98956161080197,True,True,1,True
157,189012,2.8711652432829613,35.60138738531346,37.66218017903625,37.966996804435695,39.87693373965674,35.18643527464832,1.0357977319404903,0.0172057266139246,0.9862487607306992,True,True,1,False
