bead_a,bead_b,r_a_vox,r_b_vox,gap_vox,gap_um,z_mid,axis_dip_deg,lens_vox,lens_mm3,binder_vox,pore_vox,crack_vox,binder_frac,pore_frac,crack_frac,connected,bond_area_vox,r_bond_vox,r_bond_over_R,q_crack_med,q_binder_med,q_pore_med
7,159,38.29939576652454,35.68944518992291,2.0,49.5320458,1113.6620255184332,68.17753098619767,3620,0.054989197409076256,3575,45,0,0.9875690607734806,0.012430939226519336,0.0,True,1.0,0.5641895835477563,0.015250666891237262,,0.3090169943749474,0.42857142857142855
7,206,38.29939576652454,34.75445734720734,9.70820393249937,240.43360091014944,1147.6508211121977,61.43107360959807,6639,0.10084897281736388,6510,129,0,0.9805693628558518,0.019430637144148215,0.0,True,4.0,1.1283791670955126,0.03089170848630876,,0.26665390741372685,0.35632568845258206
10,94,38.25001814000371,35.89641140513762,10.198039027185569,252.5648680823715,738.6726758368775,44.19444102220009,9802,0.14889616381319487,8970,832,0,0.9151193633952255,0.08488063660477453,0.0,True,3.0,0.9772050238058398,0.026358788408305068,,0.26342817331279195,0.29534630882855156
10,156,38.25001814000371,35.52260629097952,2.0,49.5320458,744.2181869876946,47.95633354201807,3451,0.05242202217091772,3156,295,0,0.9145175311503911,0.0854824688496088,0.0,True,1.0,0.5641895835477563,0.015295364314321625,,0.29339977411634566,0.40149162409079436
10,251,38.25001814000371,34.71237346652139,2.0,49.5320458,772.4728694583964,84.48608728213424,3625,0.05506514933919929,3622,3,0,0.9991724137931034,0.0008275862068965517,0.0,True,25.0,2.8209479177387813,0.07732608144074327,,0.3090169943749474,0.3228287342177362
11,34,37.36202648420899,37.06830288837944,2.0,49.5320458,313.68204333958266,69.82666606990955,3543,0.05381953768518154,3543,0,0,1.0,0.0,0.0,True,1.0,0.5641895835477563,0.01516020655298991,,0.3090169943749474,
7,20,38.29939576652454,37.51582486891948,2.0,49.5320458,1122.7897320626885,82.95418611836956,4030,0.061217255679165,3902,128,0,0.9682382133995037,0.03176178660049628,0.0,True,1.0,0.5641895835477563,0.014883280133435229,,0.2989350844248255,0.41421356237309503
7,36,38.29939576652454,37.227002240939015,2.0,49.5320458,1111.9436029623348,65.9304279637826,3822,0.058057655386046805,3773,49,0,0.9871794871794872,0.01282051282051282,0.0,True,2.0,0.7978845608028654,0.02112862738996286,,0.3090169943749474,0.4068781988545112
7,48,38.29939576652454,37.16545962622503,2.0,49.5320458,1110.4676466935791,63.58466262736155,3982,0.06048811714998388,3978,4,0,0.9989954796584631,0.0010045203415369162,0.0,True,1.0,0.5641895835477563,0.014952379637156553,,0.3090169943749474,0.44151844011225294
7,53,38.29939576652454,38.07522385530623,2.8284271247461903,70.0488909424453,1152.3736129039123,53.079037381267746,4124,0.06264515196547803,4047,77,0,0.9813288069835111,0.018671193016488844,0.0,True,1.0,0.5641895835477563,0.014774268895644739,,0.28330039409901914,0.407669683062202
11,45,37.36202648420899,36.52609452464983,2.0,49.5320458,303.2536454316688,86.29111103458699,3563,0.05412334540567367,3563,0,0,1.0,0.0,0.0,True,101.0,5.670035141386943,0.15347623038640093,,0.3090169943749474,
11,58,37.36202648420899,36.167328714685105,2.0,49.5320458,305.75653872708887,82.331365741262,3305,0.050204225811325144,3303,2,0,0.9993948562783661,0.000605143721633888,0.0,True,11.0,1.8712051592547776,0.05089681948640075,,0.3090169943749474,0.29164886133649065
